name;area;population
New York;468.9;8398748
Los Angeles;468.7;3990456
Chicago;227.3;2705994
Houston;599.6;2320268
Phoenix;517.6;1680992
Philadelphia;369.4;1584064
San Antonio;461.0;1547253
San Diego;325.2;1423851
Dallas;340.5;1343573
San Jose;461.5;1030119
Austin;312.7;964254
Jacksonville;874.6;903889
Fort Worth;347.2;895008
Columbus;560.5;892533
Charlotte;306.6;885708
San Francisco;121.4;883305
Indianapolis;368.2;877584
Seattle;217.2;753675
Denver;401.2;727211
Washington;177.0;705749
Boston;89.6;694583
El Paso;255.2;681728
Nashville;475.0;670820
Detroit;370.0;670031
Oklahoma City;620.3;655057
Portland;133.5;654741
Las Vegas;352.0;651319
Memphis;317.4;650618
Louisville;263.5;617638
Baltimore;80.9;593490
Milwaukee;249.9;590157
Albuquerque;188.2;560218
Tucson;230.8;548073
Fresno;114.6;538330
Mesa;325.5;528159
Sacramento;97.9;513624
Atlanta;343.0;506811
Kansas City;319.0;495327
Colorado Springs;195.6;478221
Miami;55.2;467963
Raleigh;146.9;464485
Omaha;133.4;465112
Long Beach;134.0;470130
Virginia Beach;245.6;452745
Oakland;55.9;440646
Minneapolis;142.9;429606
Tulsa;196.8;413066
Arlington;99.0;398854
New Orleans;169.4;390845
Wichita;159.3;389255
Cleveland;77.7;381009
Tampa;170.6;377165
Bakersfield;142.6;373640
Aurora;154.6;372375
Anaheim;50.0;359339
Honolulu;68.4;345064
Santa Ana;27.5;332725
Corpus Christi;380.5;326586
Riverside;81.2;325695
St. Louis;160.8;319294
Lexington;283.6;318449
Stockton;61.7;312697
Pittsburgh;58.3;302971
Saint Paul;56.2;308096
Cincinnati;77.9;301301
Anchorage;1961.0;288000
Henderson;104.7;310390
Greensboro;131.2;299035
Plano;71.6;287677
Newark;26.1;282090
Lincoln;89.1;281458
Orlando;105.2;287442
Irvine;66.1;280202
Toledo;80.7;278508
Jersey City;21.8;276427
Chula Vista;49.6;270471
Durham;108.3;267743
Fort Wayne;110.6;265904
St. Petersburg;61.7;265098
Laredo;101.1;264295
Buffalo;52.5;256480
Madison;94.0;255214
Lubbock;123.6;252506
Chandler;64.9;252692
Scottsdale;184.4;249950
Glendale;59.1;249950
Reno;108.7;248853
Norfolk;53.3;247189
Winston-Salem;132.4;246328
North Las Vegas;101.3;245949
Irving;67.0;245346
Chesapeake;340.8;244835
Gilbert;68.0;242354
Hialeah;21.5;241769
Garland;57.7;239928
Fremont;77.5;239867
Baton Rouge;76.8;227715
Richmond;59.8;227032
Boise;82.1;226570
San Bernardino;59.2;224231
Spokane;68.7;223266
Des Moines;90.9;216853
Tacoma;50.0;216279
Fontana;43.0;214547
Oxnard;26.9;214547
Moreno Valley;51.3;213055
Fayetteville;148.5;211354
Aurora;154.6;372375
Anaheim;50.0;359339
Honolulu;68.4;345064
Santa Ana;27.5;332725
Corpus Christi;380.5;326586
Riverside;81.2;325695
St. Louis;160.8;319294
Lexington;283.6;318449
Stockton;61.7;312697
Pittsburgh;58.3;302971
Saint Paul;56.2;308096
Cincinnati;77.9;301301
Anchorage;1961.0;288000
Henderson;104.7;310390
Greensboro;131.2;299035
Plano;71.6;287677
Newark;26.1;282090
Lincoln;89.1;281458
Orlando;105.2;287442
Irvine;66.1;280202
Toledo;80.7;278508
Jersey City;21.8;276427
Chula Vista;49.6;270471
Durham;108.3;267743
Fort Wayne;110.6;265904
St. Petersburg;61.7;265098
Laredo;101.1;264295
Buffalo;52.5;256480
Madison;94.0;255214
Lubbock;123.6;252506
Chandler;64.9;252692
Scottsdale;184.4;249950
Glendale;59.1;249950
Reno;108.7;248853
Norfolk;53.3;247189
Winston-Salem;132.4;246328
North Las Vegas;101.3;245949
Irving;67.0;245346
Chesapeake;340.8;244835
Gilbert;68.0;242354
Hialeah;21.5;241769
Garland;57.7;239928
Fremont;77.5;239867
Baton Rouge;76.8;227715
Richmond;59.8;227032
Boise;82.1;226570
San Bernardino;59.2;224231
Spokane;68.7;223266
Des Moines;90.9;216853
Tacoma;50.0;216279
Fontana;43.0;214547
Oxnard;26.9;214547
Moreno Valley;51.3;213055
Fayetteville;148.5;211354
